volledigeOmschrijving,soortWoning
"[-0.1654261  -0.26092675  1.9936602   1.1473392   0.6710088  -0.47174507
  3.640606   -0.03764583 -2.3647513  -1.0211482 ]","[ 0.01631531 -0.4540398   1.959293    0.8443086   1.0929123  -0.5098992
  3.0287638   0.7501013  -2.4120271   0.42424735]"
"[-0.08673354 -0.4206915   1.887111    1.0209876   0.6150575  -0.50560087
  3.3811464   0.14719567 -2.1747904  -0.9361984 ]","[ 0.45981842 -0.64265126  2.0052612  -0.44408008  1.2319517  -1.2834741
  2.0524695   2.905014   -3.6970148  -0.8232618 ]"
"[-0.10206946 -0.2604501   1.680502    0.78828484  0.6365142  -0.31639326
  3.053195    0.27510834 -2.224692   -0.9387501 ]","[-0.03878943 -0.06787348  0.06716269 -0.0853338   0.1412032  -0.09697701
  0.05147123  0.27083394 -0.4423414  -0.27789843]"
"[ 0.19531831 -0.51450056  1.6600007   1.0472363   0.6015041  -0.16758041
  3.8050299   0.688995   -2.4065785  -0.9028661 ]","[ 0.43635392 -0.65829664  1.2989486  -0.22236998  0.60749024 -0.8082232
  1.018103    1.651968   -2.2832012  -0.39869845]"
"[ 0.10802208 -0.30843073  1.5743364   1.004332    0.6240635  -0.17863993
  3.641448    0.8249818  -2.4536     -0.87776047]","[-0.00859257 -0.5124307   2.1901097   0.84789085  1.2521297  -0.5557427
  3.4164646   0.8160905  -2.8094969   0.28187254]"
"[ 0.00652781 -0.46615574  2.0749412   1.3630815   0.7213466  -0.4040936
  4.3744063   0.35411504 -2.6489487  -0.9742861 ]","[ 0.61646914 -0.7124736   1.8457513  -0.25623187  0.76936615 -1.0518503
  1.8215392   2.2561712  -2.9046896  -0.44518554]"
"[ 0.14691433 -0.4995266   1.7603996   1.0744323   0.60970604 -0.15380731
  3.671447    0.6218321  -2.3967588  -1.013372  ]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
"[-0.11418601 -0.41474715  1.9448072   0.9811585   0.66631013 -0.48028284
  3.432985    0.1293833  -2.325334   -1.029757  ]","[ 0.03583064 -0.00196569 -0.03721402  0.0343334   0.16131918  0.05549572
  0.04000439  0.28173155 -0.21534409 -0.23366252]"
"[ 0.31024766 -0.7545622   2.1067677   1.5576669   0.5856031  -0.19551007
  4.4901395   0.40488404 -2.6204538  -1.3171729 ]","[ 0.5832332  -0.8508835   1.696446   -0.35615253  0.787658   -1.0502694
  1.3759594   2.0644813  -2.8398337  -0.48660913]"
"[-0.07085526 -0.3639864   1.9494137   1.2030185   0.6748713  -0.34107673
  3.8906994   0.21966474 -2.4271207  -0.94737643]","[ 0.3991436  -0.8788385   2.784394    0.5429074   1.3521916  -1.0921977
  3.7064066   1.544406   -3.3209133   0.40657532]"
